Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Judicial,SERGIO HUMBERTO VENANCIO LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_HUMBERTO_VENANCIO_LEON_55079.pdf
Poder Judicial,YAMIL VILLALBA VILLARREAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YAMIL_VILLALBA_VILLARREAL_55562.pdf
"En Funciones, Poder Judicial, Poder Legislativo",YONATHAN MAURICIO YAÑEZ YLLAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YONATHAN_MAURICIO_YAÑEZ_YLLAN_55051.pdf
En Funciones,MARIA ISABEL BERNAL HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ISABEL_BERNAL_HERNANDEZ_52457.pdf
En Funciones,JULISSA GONZALEZ ROJAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JULISSA_GONZALEZ_ROJAS_53093.pdf
Poder Judicial,SANDRA FABIOLA GONZALEZ VARGAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_FABIOLA_GONZALEZ_VARGAS_53094.pdf
Poder Judicial,PAOLA GUERRERO SERRANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAOLA_GUERRERO_SERRANO_53535.pdf
Poder Legislativo,GUADALUPE HINOJOSA GARATACHIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUADALUPE_HINOJOSA_GARATACHIA_53891.pdf
Poder Judicial,ALEJANDRA LOPEZ TAPIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRA_LOPEZ_TAPIA_53610.pdf
"Poder Ejecutivo, Poder Judicial",ADRIANA MACEDO PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_MACEDO_PEREZ_53714.pdf
Poder Ejecutivo,DIANA SELENE MEDINA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DIANA_SELENE_MEDINA_HERNANDEZ_54130.pdf
Poder Judicial,CECILIA MOLINA PEREZ,
Poder Ejecutivo,ANA CRUZ MORALES RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_CRUZ_MORALES_RAMIREZ_53852.pdf
"Poder Judicial, Poder Legislativo",ANGELICA MUÑOZ LUNA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGELICA_MUÑOZ_LUNA_54090.pdf
Poder Legislativo,LAUREN MICHELLE PALMA VILLASEÑOR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAUREN_MICHELLE_PALMA_VILLASEÑOR_54518.pdf
Poder Ejecutivo,GRACIELA TREVIÑO GARZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GRACIELA_TREVIÑO_GARZA_54999.pdf
Poder Legislativo,JESSICA ELIZETH VENTURA GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESSICA_ELIZETH_VENTURA_GONZALEZ_55081.pdf
Poder Ejecutivo,ALAN ARRIOLA PADILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALAN_ARRIOLA_PADILLA_52317.pdf
Poder Legislativo,MARCO ANTONIO AVILA RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_ANTONIO_AVILA_RIVERA_52832.pdf
Poder Ejecutivo,CESAR ADRIAN DE LEON GUADIANA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_ADRIAN_DE_LEON_GUADIANA_53068.pdf
Poder Ejecutivo,CHRISTIAN RICARDO FRANCO REYES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CHRISTIAN_RICARDO_FRANCO_REYES_53298.pdf
Poder Ejecutivo,LEOBARDO GARCIA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LEOBARDO_GARCIA_GARCIA_53241.pdf
Poder Judicial,IRVING LUNA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRVING_LUNA_HERNANDEZ_53834.pdf
En Funciones,IVAN MARTINEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IVAN_MARTINEZ_GARCIA_53692.pdf
Poder Ejecutivo,LUIS DIDIER MOLINA ROSALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_DIDIER_MOLINA_ROSALES_53877.pdf
Poder Legislativo,ANTONIO ANATAYEL MONTEJANO ARAUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_ANATAYEL_MONTEJANO_ARAUZ_53993.pdf
Poder Ejecutivo,SID YAZBEK MORALES MONTOYA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SID_YAZBEK_MORALES_MONTOYA_54210.pdf
En Funciones,JAVIER PEREZ NAVARRETE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_PEREZ_NAVARRETE_54039.pdf
Poder Judicial,EMILIO CESAR SANTIAGO LOZANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EMILIO_CESAR_SANTIAGO_LOZANO_54792.pdf
Poder Judicial,ESTEBAN ARTURO SOLIS MANZUR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ESTEBAN_ARTURO_SOLIS_MANZUR_55151.pdf
Poder Ejecutivo,ALMA ZAIRET CRUZ RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_ZAIRET_CRUZ_RODRIGUEZ_52661.pdf
Poder Legislativo,KATHERINE ESPARZA CORTEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KATHERINE_ESPARZA_CORTEZ_52966.pdf
Poder Judicial,BIBIANA GUZMAN MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BIBIANA_GUZMAN_MARTINEZ_53525.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",MARIA FERNANDA HERNANDEZ ANDION,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_FERNANDA_HERNANDEZ_ANDION_53393.pdf
Poder Ejecutivo,KENDRA HERNANDEZ RENDON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KENDRA_HERNANDEZ_RENDON_53469.pdf
Poder Legislativo,ARIADNA MOLINA AMBRIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARIADNA_MOLINA_AMBRIZ_53868.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",MARIANA ORTIZ MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANA_ORTIZ_MORALES_54440.pdf
"En Funciones, Poder Judicial",DIANA MONTSERRAT PARTIDA ARAMBURO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DIANA_MONTSERRAT_PARTIDA_ARAMBURO_54640.pdf
"Poder Ejecutivo, Poder Legislativo",MIRIAM PEREZ RAMOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIRIAM_PEREZ_RAMOS_54029.pdf
Poder Legislativo,ARYDAI KAREN PRADO CARMONA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARYDAI_KAREN_PRADO_CARMONA_54532.pdf
